Death.Month,Age.Group,Sex,Condition,Total.Deaths
1,60-69 years,Female (F),C19+Obesity,0
1,60-69 years,Female (F),COVID-19,0
1,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,60-69 years,Male (M),C19+Diabetes,0
1,60-69 years,Male (M),C19+Hypertensive.Diseases,0
1,60-69 years,Male (M),C19+Hypertensive+MCVD,0
1,60-69 years,Male (M),C19+Kidney.Disease,0
1,60-69 years,Male (M),C19+MCVD,0
1,60-69 years,Male (M),C19+Obesity,0
1,60-69 years,Male (M),COVID-19,1
1,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
1,70-79 years,Female (F),C19+Diabetes,0
1,70-79 years,Female (F),C19+Hypertensive.Diseases,0
1,70-79 years,Female (F),C19+Hypertensive+MCVD,1
1,70-79 years,Female (F),C19+Kidney.Disease,0
1,70-79 years,Female (F),C19+MCVD,1
1,70-79 years,Female (F),C19+Obesity,0
1,70-79 years,Female (F),COVID-19,2
1,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
1,70-79 years,Male (M),C19+Diabetes,0
1,70-79 years,Male (M),C19+Hypertensive.Diseases,0
1,70-79 years,Male (M),C19+Hypertensive+MCVD,0
1,70-79 years,Male (M),C19+Kidney.Disease,0
1,70-79 years,Male (M),C19+MCVD,0
1,70-79 years,Male (M),C19+Obesity,0
1,70-79 years,Male (M),COVID-19,0
1,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,1
1,80+ years,Female (F),C19+Diabetes,0
1,80+ years,Female (F),C19+Hypertensive.Diseases,0
1,80+ years,Female (F),C19+Hypertensive+MCVD,0
1,80+ years,Female (F),C19+Kidney.Disease,0
1,80+ years,Female (F),C19+MCVD,0
1,80+ years,Female (F),C19+Obesity,0
1,80+ years,Female (F),COVID-19,2
1,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,1
1,80+ years,Male (M),C19+Diabetes,0
1,80+ years,Male (M),C19+Hypertensive.Diseases,1
1,80+ years,Male (M),C19+Hypertensive+MCVD,1
1,80+ years,Male (M),C19+Kidney.Disease,0
1,80+ years,Male (M),C19+MCVD,1
1,80+ years,Male (M),C19+Obesity,0
1,80+ years,Male (M),COVID-19,1
2,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,<18 years,Female (F),C19+Diabetes,0
2,<18 years,Female (F),C19+Hypertensive.Diseases,0
2,<18 years,Female (F),C19+Hypertensive+MCVD,0
2,<18 years,Female (F),C19+Kidney.Disease,0
2,<18 years,Female (F),C19+MCVD,0
2,<18 years,Female (F),C19+Obesity,0
2,<18 years,Female (F),COVID-19,0
2,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,<18 years,Male (M),C19+Diabetes,0
2,<18 years,Male (M),C19+Hypertensive.Diseases,0
2,<18 years,Male (M),C19+Hypertensive+MCVD,0
2,<18 years,Male (M),C19+Kidney.Disease,0
2,<18 years,Male (M),C19+MCVD,0
2,<18 years,Male (M),C19+Obesity,0
2,<18 years,Male (M),COVID-19,0
2,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,18-29 years,Female (F),C19+Diabetes,0
2,18-29 years,Female (F),C19+Hypertensive.Diseases,0
2,18-29 years,Female (F),C19+Hypertensive+MCVD,0
2,18-29 years,Female (F),C19+Kidney.Disease,0
2,18-29 years,Female (F),C19+MCVD,0
2,18-29 years,Female (F),C19+Obesity,0
2,18-29 years,Female (F),COVID-19,0
2,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,18-29 years,Male (M),C19+Diabetes,0
2,18-29 years,Male (M),C19+Hypertensive.Diseases,0
2,18-29 years,Male (M),C19+Hypertensive+MCVD,0
2,18-29 years,Male (M),C19+Kidney.Disease,0
2,18-29 years,Male (M),C19+MCVD,0
2,18-29 years,Male (M),C19+Obesity,0
2,18-29 years,Male (M),COVID-19,0
2,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,30-39 years,Female (F),C19+Diabetes,1
2,30-39 years,Female (F),C19+Hypertensive.Diseases,1
2,30-39 years,Female (F),C19+Hypertensive+MCVD,1
2,30-39 years,Female (F),C19+Kidney.Disease,0
2,30-39 years,Female (F),C19+MCVD,1
2,30-39 years,Female (F),C19+Obesity,1
2,30-39 years,Female (F),COVID-19,2
2,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,30-39 years,Male (M),C19+Diabetes,0
2,30-39 years,Male (M),C19+Hypertensive.Diseases,0
2,30-39 years,Male (M),C19+Hypertensive+MCVD,0
2,30-39 years,Male (M),C19+Kidney.Disease,0
2,30-39 years,Male (M),C19+MCVD,0
2,30-39 years,Male (M),C19+Obesity,0
2,30-39 years,Male (M),COVID-19,0
2,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,40-49 years,Female (F),C19+Diabetes,0
2,40-49 years,Female (F),C19+Hypertensive.Diseases,0
2,40-49 years,Female (F),C19+Hypertensive+MCVD,0
2,40-49 years,Female (F),C19+Kidney.Disease,0
2,40-49 years,Female (F),C19+MCVD,0
2,40-49 years,Female (F),C19+Obesity,0
2,40-49 years,Female (F),COVID-19,0
2,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,40-49 years,Male (M),C19+Diabetes,0
2,40-49 years,Male (M),C19+Hypertensive.Diseases,0
2,40-49 years,Male (M),C19+Hypertensive+MCVD,0
2,40-49 years,Male (M),C19+Kidney.Disease,0
2,40-49 years,Male (M),C19+MCVD,0
2,40-49 years,Male (M),C19+Obesity,0
2,40-49 years,Male (M),COVID-19,0
2,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,50-59 years,Female (F),C19+Diabetes,0
2,50-59 years,Female (F),C19+Hypertensive.Diseases,0
2,50-59 years,Female (F),C19+Hypertensive+MCVD,1
2,50-59 years,Female (F),C19+Kidney.Disease,0
2,50-59 years,Female (F),C19+MCVD,1
2,50-59 years,Female (F),C19+Obesity,1
2,50-59 years,Female (F),COVID-19,1
2,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,50-59 years,Male (M),C19+Diabetes,1
2,50-59 years,Male (M),C19+Hypertensive.Diseases,1
2,50-59 years,Male (M),C19+Hypertensive+MCVD,2
2,50-59 years,Male (M),C19+Kidney.Disease,0
2,50-59 years,Male (M),C19+MCVD,2
2,50-59 years,Male (M),C19+Obesity,0
2,50-59 years,Male (M),COVID-19,4
2,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,60-69 years,Female (F),C19+Diabetes,0
2,60-69 years,Female (F),C19+Hypertensive.Diseases,0
2,60-69 years,Female (F),C19+Hypertensive+MCVD,0
2,60-69 years,Female (F),C19+Kidney.Disease,0
2,60-69 years,Female (F),C19+MCVD,0
2,60-69 years,Female (F),C19+Obesity,0
2,60-69 years,Female (F),COVID-19,2
2,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,60-69 years,Male (M),C19+Diabetes,1
2,60-69 years,Male (M),C19+Hypertensive.Diseases,1
2,60-69 years,Male (M),C19+Hypertensive+MCVD,1
2,60-69 years,Male (M),C19+Kidney.Disease,0
2,60-69 years,Male (M),C19+MCVD,1
2,60-69 years,Male (M),C19+Obesity,0
2,60-69 years,Male (M),COVID-19,1
2,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,70-79 years,Female (F),C19+Diabetes,1
2,70-79 years,Female (F),C19+Hypertensive.Diseases,0
2,70-79 years,Female (F),C19+Hypertensive+MCVD,1
2,70-79 years,Female (F),C19+Kidney.Disease,0
2,70-79 years,Female (F),C19+MCVD,1
2,70-79 years,Female (F),C19+Obesity,0
2,70-79 years,Female (F),COVID-19,1
2,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
2,70-79 years,Male (M),C19+Diabetes,0
2,70-79 years,Male (M),C19+Hypertensive.Diseases,0
2,70-79 years,Male (M),C19+Hypertensive+MCVD,0
2,70-79 years,Male (M),C19+Kidney.Disease,0
2,70-79 years,Male (M),C19+MCVD,0
2,70-79 years,Male (M),C19+Obesity,0
2,70-79 years,Male (M),COVID-19,1
2,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,0
2,80+ years,Female (F),C19+Diabetes,0
2,80+ years,Female (F),C19+Hypertensive.Diseases,1
2,80+ years,Female (F),C19+Hypertensive+MCVD,1
2,80+ years,Female (F),C19+Kidney.Disease,0
2,80+ years,Female (F),C19+MCVD,1
2,80+ years,Female (F),C19+Obesity,0
2,80+ years,Female (F),COVID-19,3
2,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,1
2,80+ years,Male (M),C19+Diabetes,0
2,80+ years,Male (M),C19+Hypertensive.Diseases,1
2,80+ years,Male (M),C19+Hypertensive+MCVD,1
2,80+ years,Male (M),C19+Kidney.Disease,0
2,80+ years,Male (M),C19+MCVD,1
2,80+ years,Male (M),C19+Obesity,0
2,80+ years,Male (M),COVID-19,1
3,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
3,<18 years,Female (F),C19+Diabetes,0
3,<18 years,Female (F),C19+Hypertensive.Diseases,0
3,<18 years,Female (F),C19+Hypertensive+MCVD,0
3,<18 years,Female (F),C19+Kidney.Disease,0
3,<18 years,Female (F),C19+MCVD,0
3,<18 years,Female (F),C19+Obesity,0
3,<18 years,Female (F),COVID-19,1
3,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,1
3,<18 years,Male (M),C19+Diabetes,0
3,<18 years,Male (M),C19+Hypertensive.Diseases,0
3,<18 years,Male (M),C19+Hypertensive+MCVD,2
3,<18 years,Male (M),C19+Kidney.Disease,0
3,<18 years,Male (M),C19+MCVD,2
3,<18 years,Male (M),C19+Obesity,1
3,<18 years,Male (M),COVID-19,6
3,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
3,18-29 years,Female (F),C19+Diabetes,3
3,18-29 years,Female (F),C19+Hypertensive.Diseases,1
3,18-29 years,Female (F),C19+Hypertensive+MCVD,3
3,18-29 years,Female (F),C19+Kidney.Disease,1
3,18-29 years,Female (F),C19+MCVD,3
3,18-29 years,Female (F),C19+Obesity,3
3,18-29 years,Female (F),COVID-19,11
3,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,2
3,18-29 years,Male (M),C19+Diabetes,6
3,18-29 years,Male (M),C19+Hypertensive.Diseases,1
3,18-29 years,Male (M),C19+Hypertensive+MCVD,12
3,18-29 years,Male (M),C19+Kidney.Disease,2
3,18-29 years,Male (M),C19+MCVD,12
3,18-29 years,Male (M),C19+Obesity,5
3,18-29 years,Male (M),COVID-19,35
3,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,4
3,30-39 years,Female (F),C19+Diabetes,3
3,30-39 years,Female (F),C19+Hypertensive.Diseases,6
3,30-39 years,Female (F),C19+Hypertensive+MCVD,20
3,30-39 years,Female (F),C19+Kidney.Disease,6
3,30-39 years,Female (F),C19+MCVD,20
3,30-39 years,Female (F),C19+Obesity,9
3,30-39 years,Female (F),COVID-19,40
3,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,4
3,30-39 years,Male (M),C19+Diabetes,20
3,30-39 years,Male (M),C19+Hypertensive.Diseases,16
3,30-39 years,Male (M),C19+Hypertensive+MCVD,45
3,30-39 years,Male (M),C19+Kidney.Disease,12
3,30-39 years,Male (M),C19+MCVD,45
3,30-39 years,Male (M),C19+Obesity,26
3,30-39 years,Male (M),COVID-19,123
3,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,10
3,40-49 years,Female (F),C19+Diabetes,16
3,40-49 years,Female (F),C19+Hypertensive.Diseases,21
3,40-49 years,Female (F),C19+Hypertensive+MCVD,40
3,40-49 years,Female (F),C19+Kidney.Disease,3
3,40-49 years,Female (F),C19+MCVD,40
3,40-49 years,Female (F),C19+Obesity,20
3,40-49 years,Female (F),COVID-19,94
3,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,12
3,40-49 years,Male (M),C19+Diabetes,53
3,40-49 years,Male (M),C19+Hypertensive.Diseases,33
3,40-49 years,Male (M),C19+Hypertensive+MCVD,81
3,40-49 years,Male (M),C19+Kidney.Disease,22
3,40-49 years,Male (M),C19+MCVD,81
3,40-49 years,Male (M),C19+Obesity,24
3,40-49 years,Male (M),COVID-19,252
3,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,17
3,50-59 years,Female (F),C19+Diabetes,50
3,50-59 years,Female (F),C19+Hypertensive.Diseases,47
3,50-59 years,Female (F),C19+Hypertensive+MCVD,100
3,50-59 years,Female (F),C19+Kidney.Disease,16
3,50-59 years,Female (F),C19+MCVD,100
3,50-59 years,Female (F),C19+Obesity,26
3,50-59 years,Female (F),COVID-19,232
3,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,32
3,50-59 years,Male (M),C19+Diabetes,98
3,50-59 years,Male (M),C19+Hypertensive.Diseases,95
3,50-59 years,Male (M),C19+Hypertensive+MCVD,210
3,50-59 years,Male (M),C19+Kidney.Disease,44
3,50-59 years,Male (M),C19+MCVD,210
3,50-59 years,Male (M),C19+Obesity,44
3,50-59 years,Male (M),COVID-19,537
3,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,46
3,60-69 years,Female (F),C19+Diabetes,81
3,60-69 years,Female (F),C19+Hypertensive.Diseases,100
3,60-69 years,Female (F),C19+Hypertensive+MCVD,194
3,60-69 years,Female (F),C19+Kidney.Disease,38
3,60-69 years,Female (F),C19+MCVD,194
3,60-69 years,Female (F),C19+Obesity,19
3,60-69 years,Female (F),COVID-19,445
3,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,70
3,60-69 years,Male (M),C19+Diabetes,163
3,60-69 years,Male (M),C19+Hypertensive.Diseases,181
3,60-69 years,Male (M),C19+Hypertensive+MCVD,366
3,60-69 years,Male (M),C19+Kidney.Disease,84
3,60-69 years,Male (M),C19+MCVD,366
3,60-69 years,Male (M),C19+Obesity,32
3,60-69 years,Male (M),COVID-19,850
3,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,83
3,70-79 years,Female (F),C19+Diabetes,114
3,70-79 years,Female (F),C19+Hypertensive.Diseases,148
3,70-79 years,Female (F),C19+Hypertensive+MCVD,324
3,70-79 years,Female (F),C19+Kidney.Disease,47
3,70-79 years,Female (F),C19+MCVD,324
3,70-79 years,Female (F),C19+Obesity,19
3,70-79 years,Female (F),COVID-19,703
3,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,92
3,70-79 years,Male (M),C19+Diabetes,166
3,70-79 years,Male (M),C19+Hypertensive.Diseases,239
3,70-79 years,Male (M),C19+Hypertensive+MCVD,510
3,70-79 years,Male (M),C19+Kidney.Disease,112
3,70-79 years,Male (M),C19+MCVD,510
3,70-79 years,Male (M),C19+Obesity,20
3,70-79 years,Male (M),COVID-19,1123
3,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,118
3,80+ years,Female (F),C19+Diabetes,96
3,80+ years,Female (F),C19+Hypertensive.Diseases,239
3,80+ years,Female (F),C19+Hypertensive+MCVD,539
3,80+ years,Female (F),C19+Kidney.Disease,55
3,80+ years,Female (F),C19+MCVD,539
3,80+ years,Female (F),C19+Obesity,4
3,80+ years,Female (F),COVID-19,1234
3,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,125
3,80+ years,Male (M),C19+Diabetes,166
3,80+ years,Male (M),C19+Hypertensive.Diseases,284
3,80+ years,Male (M),C19+Hypertensive+MCVD,622
3,80+ years,Male (M),C19+Kidney.Disease,90
3,80+ years,Male (M),C19+MCVD,622
3,80+ years,Male (M),C19+Obesity,6
3,80+ years,Male (M),COVID-19,1395
4,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,3
4,<18 years,Female (F),C19+Diabetes,0
4,<18 years,Female (F),C19+Hypertensive.Diseases,0
4,<18 years,Female (F),C19+Hypertensive+MCVD,3
4,<18 years,Female (F),C19+Kidney.Disease,0
4,<18 years,Female (F),C19+MCVD,3
4,<18 years,Female (F),C19+Obesity,2
4,<18 years,Female (F),COVID-19,9
4,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,0
4,<18 years,Male (M),C19+Diabetes,1
4,<18 years,Male (M),C19+Hypertensive.Diseases,0
4,<18 years,Male (M),C19+Hypertensive+MCVD,1
4,<18 years,Male (M),C19+Kidney.Disease,0
4,<18 years,Male (M),C19+MCVD,1
4,<18 years,Male (M),C19+Obesity,1
4,<18 years,Male (M),COVID-19,7
4,18-29 years,Female (F),C19+Chronic.Lower.Resp.Disease,4
4,18-29 years,Female (F),C19+Diabetes,5
4,18-29 years,Female (F),C19+Hypertensive.Diseases,6
4,18-29 years,Female (F),C19+Hypertensive+MCVD,25
4,18-29 years,Female (F),C19+Kidney.Disease,6
4,18-29 years,Female (F),C19+MCVD,25
4,18-29 years,Female (F),C19+Obesity,15
4,18-29 years,Female (F),COVID-19,76
4,18-29 years,Male (M),C19+Chronic.Lower.Resp.Disease,11
4,18-29 years,Male (M),C19+Diabetes,17
4,18-29 years,Male (M),C19+Hypertensive.Diseases,9
4,18-29 years,Male (M),C19+Hypertensive+MCVD,47
4,18-29 years,Male (M),C19+Kidney.Disease,13
4,18-29 years,Male (M),C19+MCVD,47
4,18-29 years,Male (M),C19+Obesity,31
4,18-29 years,Male (M),COVID-19,146
4,30-39 years,Female (F),C19+Chronic.Lower.Resp.Disease,13
4,30-39 years,Female (F),C19+Diabetes,32
4,30-39 years,Female (F),C19+Hypertensive.Diseases,23
4,30-39 years,Female (F),C19+Hypertensive+MCVD,68
4,30-39 years,Female (F),C19+Kidney.Disease,10
4,30-39 years,Female (F),C19+MCVD,68
4,30-39 years,Female (F),C19+Obesity,36
4,30-39 years,Female (F),COVID-19,190
4,30-39 years,Male (M),C19+Chronic.Lower.Resp.Disease,22
4,30-39 years,Male (M),C19+Diabetes,73
4,30-39 years,Male (M),C19+Hypertensive.Diseases,53
4,30-39 years,Male (M),C19+Hypertensive+MCVD,162
4,30-39 years,Male (M),C19+Kidney.Disease,37
4,30-39 years,Male (M),C19+MCVD,162
4,30-39 years,Male (M),C19+Obesity,89
4,30-39 years,Male (M),COVID-19,487
4,40-49 years,Female (F),C19+Chronic.Lower.Resp.Disease,34
4,40-49 years,Female (F),C19+Diabetes,108
4,40-49 years,Female (F),C19+Hypertensive.Diseases,75
4,40-49 years,Female (F),C19+Hypertensive+MCVD,180
4,40-49 years,Female (F),C19+Kidney.Disease,52
4,40-49 years,Female (F),C19+MCVD,180
4,40-49 years,Female (F),C19+Obesity,70
4,40-49 years,Female (F),COVID-19,519
4,40-49 years,Male (M),C19+Chronic.Lower.Resp.Disease,39
4,40-49 years,Male (M),C19+Diabetes,233
4,40-49 years,Male (M),C19+Hypertensive.Diseases,212
4,40-49 years,Male (M),C19+Hypertensive+MCVD,504
4,40-49 years,Male (M),C19+Kidney.Disease,112
4,40-49 years,Male (M),C19+MCVD,504
4,40-49 years,Male (M),C19+Obesity,165
4,40-49 years,Male (M),COVID-19,1284
4,50-59 years,Female (F),C19+Chronic.Lower.Resp.Disease,125
4,50-59 years,Female (F),C19+Diabetes,290
4,50-59 years,Female (F),C19+Hypertensive.Diseases,267
4,50-59 years,Female (F),C19+Hypertensive+MCVD,583
4,50-59 years,Female (F),C19+Kidney.Disease,125
4,50-59 years,Female (F),C19+MCVD,583
4,50-59 years,Female (F),C19+Obesity,143
4,50-59 years,Female (F),COVID-19,1480
4,50-59 years,Male (M),C19+Chronic.Lower.Resp.Disease,138
4,50-59 years,Male (M),C19+Diabetes,628
4,50-59 years,Male (M),C19+Hypertensive.Diseases,589
4,50-59 years,Male (M),C19+Hypertensive+MCVD,1366
4,50-59 years,Male (M),C19+Kidney.Disease,285
4,50-59 years,Male (M),C19+MCVD,1366
4,50-59 years,Male (M),C19+Obesity,196
4,50-59 years,Male (M),COVID-19,3335
4,60-69 years,Female (F),C19+Chronic.Lower.Resp.Disease,373
4,60-69 years,Female (F),C19+Diabetes,702
4,60-69 years,Female (F),C19+Hypertensive.Diseases,740
4,60-69 years,Female (F),C19+Hypertensive+MCVD,1539
4,60-69 years,Female (F),C19+Kidney.Disease,297
4,60-69 years,Female (F),C19+MCVD,1539
4,60-69 years,Female (F),C19+Obesity,227
4,60-69 years,Female (F),COVID-19,3589
4,60-69 years,Male (M),C19+Chronic.Lower.Resp.Disease,406
4,60-69 years,Male (M),C19+Diabetes,1213
4,60-69 years,Male (M),C19+Hypertensive.Diseases,1369
4,60-69 years,Male (M),C19+Hypertensive+MCVD,2905
4,60-69 years,Male (M),C19+Kidney.Disease,644
4,60-69 years,Male (M),C19+MCVD,2905
4,60-69 years,Male (M),C19+Obesity,205
4,60-69 years,Male (M),COVID-19,6743
4,70-79 years,Female (F),C19+Chronic.Lower.Resp.Disease,625
4,70-79 years,Female (F),C19+Diabetes,1060
4,70-79 years,Female (F),C19+Hypertensive.Diseases,1319
4,70-79 years,Female (F),C19+Hypertensive+MCVD,2745
4,70-79 years,Female (F),C19+Kidney.Disease,420
4,70-79 years,Female (F),C19+MCVD,2745
4,70-79 years,Female (F),C19+Obesity,172
4,70-79 years,Female (F),COVID-19,6143
4,70-79 years,Male (M),C19+Chronic.Lower.Resp.Disease,714
4,70-79 years,Male (M),C19+Diabetes,1500
4,70-79 years,Male (M),C19+Hypertensive.Diseases,1949
4,70-79 years,Male (M),C19+Hypertensive+MCVD,4146
4,70-79 years,Male (M),C19+Kidney.Disease,824
4,70-79 years,Male (M),C19+MCVD,4146
4,70-79 years,Male (M),C19+Obesity,139
4,70-79 years,Male (M),COVID-19,9091
4,80+ years,Female (F),C19+Chronic.Lower.Resp.Disease,1094
4,80+ years,Female (F),C19+Diabetes,1521
4,80+ years,Female (F),C19+Hypertensive.Diseases,3274
4,80+ years,Female (F),C19+Hypertensive+MCVD,7001
4,80+ years,Female (F),C19+Kidney.Disease,806
4,80+ years,Female (F),C19+MCVD,7001
4,80+ years,Female (F),C19+Obesity,100
4,80+ years,Female (F),COVID-19,15882
4,80+ years,Male (M),C19+Chronic.Lower.Resp.Disease,943
4,80+ years,Male (M),C19+Diabetes,1516
4,80+ years,Male (M),C19+Hypertensive.Diseases,2698
4,80+ years,Male (M),C19+Hypertensive+MCVD,5924
4,80+ years,Male (M),C19+Kidney.Disease,957
4,80+ years,Male (M),C19+MCVD,5924
4,80+ years,Male (M),C19+Obesity,49
4,80+ years,Male (M),COVID-19,12706
5,<18 years,Female (F),C19+Chronic.Lower.Resp.Disease,0
5,<18 years,Female (F),C19+Diabetes,0
5,<18 years,Female (F),C19+Hypertensive.Diseases,0
5,<18 years,Female (F),C19+Hypertensive+MCVD,1
5,<18 years,Female (F),C19+Kidney.Disease,0
5,<18 years,Female (F),C19+MCVD,1
5,<18 years,Female (F),C19+Obesity,0
5,<18 years,Female (F),COVID-19,6
5,<18 years,Male (M),C19+Chronic.Lower.Resp.Disease,1
5,<18 years,Male (M),C19+Diabetes,0
5,<18 years,Male (M),C19+Hypertensive.Diseases,0
5,<18 years,Male (M),C19+Hypertensive+MCVD,3
5,<18 years,Male (M),C19+Kidney.Disease,0
5,<18 years,Male (M),C19+MCVD,3
5,<18 years,Male (M),C19+Obesity,0
