"Start.Week","End.Week","State","Condition.Group","Condition","ICD10_codes","Age.Group","Number.of.COVID.19.Deaths"
2020-02-01,2020-11-07,"CA","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",9218
2020-02-01,2020-11-07,"CA","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",1202
2020-02-01,2020-11-07,"CA","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",1920
2020-02-01,2020-11-07,"CA","Respiratory diseases","Respiratory failure","J96","All Ages",8165
2020-02-01,2020-11-07,"CA","Respiratory diseases","Respiratory arrest","R09.2","All Ages",556
2020-02-01,2020-11-07,"CA","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",637
2020-02-01,2020-11-07,"CA","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",3473
2020-02-01,2020-11-07,"CA","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",1906
2020-02-01,2020-11-07,"CA","Circulatory diseases","Cardiac arrest","I46","All Ages",5121
2020-02-01,2020-11-07,"CA","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",1182
2020-02-01,2020-11-07,"CA","Circulatory diseases","Heart failure","I50","All Ages",1125
2020-02-01,2020-11-07,"CA","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",928
2020-02-01,2020-11-07,"CA","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",992
2020-02-01,2020-11-07,"CA","Sepsis","Sepsis","A40-A41","All Ages",2754
2020-02-01,2020-11-07,"CA","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",776
2020-02-01,2020-11-07,"CA","Diabetes","Diabetes","E10-E14","All Ages",3772
2020-02-01,2020-11-07,"CA","Obesity","Obesity","E65-E68","All Ages",813
2020-02-01,2020-11-07,"CA","Alzheimer disease","Alzheimer disease","G30","All Ages",970
2020-02-01,2020-11-07,"CA","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",1275
2020-02-01,2020-11-07,"CA","Renal failure","Renal failure","N17-N19","All Ages",2183
2020-02-01,2020-11-07,"CA","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",585
2020-02-01,2020-11-07,"CA","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",8547
2020-02-01,2020-11-07,"CA","COVID-19","COVID-19","U071","All Ages",17241
2020-02-01,2020-11-07,"CO","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",1022
2020-02-01,2020-11-07,"CO","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",267
2020-02-01,2020-11-07,"CO","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",574
2020-02-01,2020-11-07,"CO","Respiratory diseases","Respiratory failure","J96","All Ages",802
2020-02-01,2020-11-07,"CO","Respiratory diseases","Respiratory arrest","R09.2","All Ages",17
2020-02-01,2020-11-07,"CO","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",123
2020-02-01,2020-11-07,"CO","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",441
2020-02-01,2020-11-07,"CO","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",227
2020-02-01,2020-11-07,"CO","Circulatory diseases","Cardiac arrest","I46","All Ages",101
2020-02-01,2020-11-07,"CO","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",209
2020-02-01,2020-11-07,"CO","Circulatory diseases","Heart failure","I50","All Ages",199
2020-02-01,2020-11-07,"CO","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",161
2020-02-01,2020-11-07,"CO","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",219
2020-02-01,2020-11-07,"CO","Sepsis","Sepsis","A40-A41","All Ages",180
2020-02-01,2020-11-07,"CO","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",112
2020-02-01,2020-11-07,"CO","Diabetes","Diabetes","E10-E14","All Ages",327
2020-02-01,2020-11-07,"CO","Obesity","Obesity","E65-E68","All Ages",96
2020-02-01,2020-11-07,"CO","Alzheimer disease","Alzheimer disease","G30","All Ages",155
2020-02-01,2020-11-07,"CO","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",400
2020-02-01,2020-11-07,"CO","Renal failure","Renal failure","N17-N19","All Ages",253
2020-02-01,2020-11-07,"CO","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",147
2020-02-01,2020-11-07,"CO","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",1753
2020-02-01,2020-11-07,"CO","COVID-19","COVID-19","U071","All Ages",2181
2020-02-01,2020-11-07,"CT","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",917
2020-02-01,2020-11-07,"CT","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",444
2020-02-01,2020-11-07,"CT","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",271
2020-02-01,2020-11-07,"CT","Respiratory diseases","Respiratory failure","J96","All Ages",1611
2020-02-01,2020-11-07,"CT","Respiratory diseases","Respiratory arrest","R09.2","All Ages",129
2020-02-01,2020-11-07,"CT","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",423
2020-02-01,2020-11-07,"CT","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",620
2020-02-01,2020-11-07,"CT","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",377
2020-02-01,2020-11-07,"CT","Circulatory diseases","Cardiac arrest","I46","All Ages",514
2020-02-01,2020-11-07,"CT","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",270
2020-02-01,2020-11-07,"CT","Circulatory diseases","Heart failure","I50","All Ages",395
2020-02-01,2020-11-07,"CT","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",176
2020-02-01,2020-11-07,"CT","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",305
2020-02-01,2020-11-07,"CT","Sepsis","Sepsis","A40-A41","All Ages",289
2020-02-01,2020-11-07,"CT","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",195
2020-02-01,2020-11-07,"CT","Diabetes","Diabetes","E10-E14","All Ages",499
2020-02-01,2020-11-07,"CT","Obesity","Obesity","E65-E68","All Ages",87
2020-02-01,2020-11-07,"CT","Alzheimer disease","Alzheimer disease","G30","All Ages",138
2020-02-01,2020-11-07,"CT","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",784
2020-02-01,2020-11-07,"CT","Renal failure","Renal failure","N17-N19","All Ages",305
2020-02-01,2020-11-07,"CT","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",176
2020-02-01,2020-11-07,"CT","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",1863
2020-02-01,2020-11-07,"CT","COVID-19","COVID-19","U071","All Ages",4520
2020-02-01,2020-11-07,"DE","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",236
2020-02-01,2020-11-07,"DE","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",21
2020-02-01,2020-11-07,"DE","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",62
2020-02-01,2020-11-07,"DE","Respiratory diseases","Respiratory failure","J96","All Ages",150
2020-02-01,2020-11-07,"DE","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",34
2020-02-01,2020-11-07,"DE","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",18
2020-02-01,2020-11-07,"DE","Circulatory diseases","Cardiac arrest","I46","All Ages",18
2020-02-01,2020-11-07,"DE","Circulatory diseases","Heart failure","I50","All Ages",11
2020-02-01,2020-11-07,"DE","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",12
2020-02-01,2020-11-07,"DE","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",16
2020-02-01,2020-11-07,"DE","Sepsis","Sepsis","A40-A41","All Ages",38
2020-02-01,2020-11-07,"DE","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",16
2020-02-01,2020-11-07,"DE","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",27
2020-02-01,2020-11-07,"DE","Renal failure","Renal failure","N17-N19","All Ages",29
2020-02-01,2020-11-07,"DE","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",233
2020-02-01,2020-11-07,"DE","COVID-19","COVID-19","U071","All Ages",609
2020-02-01,2020-11-07,"DC","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",700
2020-02-01,2020-11-07,"DC","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",96
2020-02-01,2020-11-07,"DC","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",729
2020-02-01,2020-11-07,"DC","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",10
2020-02-01,2020-11-07,"DC","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",513
2020-02-01,2020-11-07,"DC","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",42
2020-02-01,2020-11-07,"DC","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",26
2020-02-01,2020-11-07,"DC","Circulatory diseases","Heart failure","I50","All Ages",26
2020-02-01,2020-11-07,"DC","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",21
2020-02-01,2020-11-07,"DC","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",34
2020-02-01,2020-11-07,"DC","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",78
2020-02-01,2020-11-07,"DC","Diabetes","Diabetes","E10-E14","All Ages",328
2020-02-01,2020-11-07,"DC","Obesity","Obesity","E65-E68","All Ages",52
2020-02-01,2020-11-07,"DC","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",87
2020-02-01,2020-11-07,"DC","Renal failure","Renal failure","N17-N19","All Ages",37
2020-02-01,2020-11-07,"DC","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",11
2020-02-01,2020-11-07,"DC","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",236
2020-02-01,2020-11-07,"DC","COVID-19","COVID-19","U071","All Ages",795
2020-02-01,2020-11-07,"FL","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",7926
2020-02-01,2020-11-07,"FL","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",2813
2020-02-01,2020-11-07,"FL","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",1674
2020-02-01,2020-11-07,"FL","Respiratory diseases","Respiratory failure","J96","All Ages",2804
2020-02-01,2020-11-07,"FL","Respiratory diseases","Respiratory arrest","R09.2","All Ages",112
2020-02-01,2020-11-07,"FL","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",610
2020-02-01,2020-11-07,"FL","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",8002
2020-02-01,2020-11-07,"FL","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",4151
2020-02-01,2020-11-07,"FL","Circulatory diseases","Cardiac arrest","I46","All Ages",659
2020-02-01,2020-11-07,"FL","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",1319
2020-02-01,2020-11-07,"FL","Circulatory diseases","Heart failure","I50","All Ages",811
2020-02-01,2020-11-07,"FL","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",1035
2020-02-01,2020-11-07,"FL","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",1033
2020-02-01,2020-11-07,"FL","Sepsis","Sepsis","A40-A41","All Ages",890
2020-02-01,2020-11-07,"FL","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",1069
2020-02-01,2020-11-07,"FL","Diabetes","Diabetes","E10-E14","All Ages",4792
2020-02-01,2020-11-07,"FL","Obesity","Obesity","E65-E68","All Ages",1292
2020-02-01,2020-11-07,"FL","Alzheimer disease","Alzheimer disease","G30","All Ages",562
2020-02-01,2020-11-07,"FL","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",2885
2020-02-01,2020-11-07,"FL","Renal failure","Renal failure","N17-N19","All Ages",766
2020-02-01,2020-11-07,"FL","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",951
2020-02-01,2020-11-07,"FL","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",7544
2020-02-01,2020-11-07,"FL","COVID-19","COVID-19","U071","All Ages",16539
2020-02-01,2020-11-07,"GA","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",3245
2020-02-01,2020-11-07,"GA","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",422
2020-02-01,2020-11-07,"GA","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",660
2020-02-01,2020-11-07,"GA","Respiratory diseases","Respiratory failure","J96","All Ages",3263
2020-02-01,2020-11-07,"GA","Respiratory diseases","Respiratory arrest","R09.2","All Ages",228
2020-02-01,2020-11-07,"GA","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",328
2020-02-01,2020-11-07,"GA","Circulatory diseases","Hypertensive diseases","I10-I15","All Ages",1041
2020-02-01,2020-11-07,"GA","Circulatory diseases","Ischemic heart disease","I20-I25","All Ages",421
2020-02-01,2020-11-07,"GA","Circulatory diseases","Cardiac arrest","I46","All Ages",1026
2020-02-01,2020-11-07,"GA","Circulatory diseases","Cardiac arrhythmia","I44, I45, I47-I49","All Ages",299
2020-02-01,2020-11-07,"GA","Circulatory diseases","Heart failure","I50","All Ages",405
2020-02-01,2020-11-07,"GA","Circulatory diseases","Cerebrovascular diseases","I60-I69","All Ages",326
2020-02-01,2020-11-07,"GA","Circulatory diseases","Other diseases of the circulatory system","I00-I09, I26-I43, I51, I52, I70-I99","All Ages",371
2020-02-01,2020-11-07,"GA","Sepsis","Sepsis","A40-A41","All Ages",1077
2020-02-01,2020-11-07,"GA","Malignant neoplasms","Malignant neoplasms","C00-C97","All Ages",243
2020-02-01,2020-11-07,"GA","Diabetes","Diabetes","E10-E14","All Ages",812
2020-02-01,2020-11-07,"GA","Obesity","Obesity","E65-E68","All Ages",226
2020-02-01,2020-11-07,"GA","Alzheimer disease","Alzheimer disease","G30","All Ages",272
2020-02-01,2020-11-07,"GA","Vascular and unspecified dementia","Vascular and unspecified dementia","F01, F03","All Ages",550
2020-02-01,2020-11-07,"GA","Renal failure","Renal failure","N17-N19","All Ages",696
2020-02-01,2020-11-07,"GA","Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03","All Ages",181
2020-02-01,2020-11-07,"GA","All other conditions and causes (residual)","All other conditions and causes (residual)","A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99","All Ages",3662
2020-02-01,2020-11-07,"GA","COVID-19","COVID-19","U071","All Ages",7053
2020-02-01,2020-11-07,"HI","Respiratory diseases","Influenza and pneumonia","J09-J18","All Ages",134
2020-02-01,2020-11-07,"HI","Respiratory diseases","Chronic lower respiratory diseases","J40-J47","All Ages",21
2020-02-01,2020-11-07,"HI","Respiratory diseases","Adult respiratory distress syndrome","J80","All Ages",38
2020-02-01,2020-11-07,"HI","Respiratory diseases","Respiratory failure","J96","All Ages",94
2020-02-01,2020-11-07,"HI","Respiratory diseases","Other diseases of the respiratory system","J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04","All Ages",17
